ts,time,wall_time,mp_count.O+,real_count.O+,px.O+,py.O+,pz.O+,KE.O+,mp_count.e-,real_count.e-,px.e-,py.e-,pz.e-,KE.e-,PE,E_total
0,2e-10,0.0219994,68921,1e+08,0,0,0,0,9261,1.25e+07,0,0,0,0,8.96839e-12,8.96839e-12
1,4e-10,0.0639595,68921,1e+08,-4.24081e-21,-4.24081e-21,-4.24081e-21,1.09204e-21,9261,1.25e+07,4.96458e-21,4.96458e-21,4.96458e-21,3.45308e-18,8.96839e-12,8.96839e-12
2,6e-10,0.0692412,68921,1e+08,-8.48161e-21,-8.48161e-21,-8.4816e-21,4.36817e-21,9261,1.25e+07,9.92915e-21,9.92915e-21,9.92915e-21,1.38123e-17,8.96838e-12,8.96839e-12
3,8e-10,0.0745283,68921,1e+08,-1.27224e-20,-1.27224e-20,-1.27224e-20,9.82836e-21,9261,1.25e+07,1.48937e-20,1.48937e-20,1.48937e-20,3.10775e-17,8.96836e-12,8.96839e-12
4,1e-09,0.0804164,68921,1e+08,-1.69631e-20,-1.69631e-20,-1.69631e-20,1.74726e-20,9261,1.25e+07,1.98582e-20,1.98582e-20,1.98582e-20,5.52486e-17,8.96833e-12,8.96838e-12
5,1.2e-09,0.08627,68921,1e+08,-2.12039e-20,-2.12039e-20,-2.12039e-20,2.73009e-20,9261,1.25e+07,2.48227e-20,2.48227e-20,2.48227e-20,8.63254e-17,8.96829e-12,8.96838e-12
6,1.4e-09,0.0925345,68921,1e+08,-2.54445e-20,-2.54445e-20,-2.54445e-20,3.93131e-20,9261,1.25e+07,2.97871e-20,2.97871e-20,2.97871e-20,1.24307e-16,8.96825e-12,8.96838e-12
7,1.6e-09,0.0983834,68921,1e+08,-2.96852e-20,-2.96852e-20,-2.96851e-20,5.35093e-20,9261,1.25e+07,3.47515e-20,3.47515e-20,3.47515e-20,1.69194e-16,8.96821e-12,8.96838e-12
8,1.8e-09,0.104118,68921,1e+08,-3.39257e-20,-3.39257e-20,-3.39257e-20,6.98894e-20,9261,1.25e+07,3.97157e-20,3.97157e-20,3.97157e-20,2.20986e-16,8.96815e-12,8.96837e-12
9,2e-09,0.109927,68921,1e+08,-3.81662e-20,-3.81662e-20,-3.81662e-20,8.84533e-20,9261,1.25e+07,4.46799e-20,4.46799e-20,4.46799e-20,2.79681e-16,8.96809e-12,8.96837e-12
10,2.2e-09,0.115843,68921,1e+08,-4.24066e-20,-4.24066e-20,-4.24066e-20,1.09201e-19,9261,1.25e+07,4.9644e-20,4.9644e-20,4.9644e-20,3.4528e-16,8.96802e-12,8.96837e-12
11,2.4e-09,0.12155,68921,1e+08,-4.66469e-20,-4.66469e-20,-4.66469e-20,1.32132e-19,9261,1.25e+07,5.4608e-20,5.4608e-20,5.4608e-20,4.17782e-16,8.96795e-12,8.96837e-12
12,2.6e-09,0.127321,68921,1e+08,-5.08872e-20,-5.08872e-20,-5.08871e-20,1.57247e-19,9261,1.25e+07,5.95719e-20,5.95719e-20,5.95719e-20,4.97185e-16,8.96787e-12,8.96836e-12
13,2.8e-09,0.133023,68921,1e+08,-5.51273e-20,-5.51273e-20,-5.51273e-20,1.84546e-19,9261,1.25e+07,6.45356e-20,6.45356e-20,6.45356e-20,5.8349e-16,8.96778e-12,8.96836e-12
14,3e-09,0.138729,68921,1e+08,-5.93673e-20,-5.93673e-20,-5.93673e-20,2.14028e-19,9261,1.25e+07,6.94992e-20,6.94992e-20,6.94992e-20,6.76696e-16,8.96768e-12,8.96836e-12
15,3.2e-09,0.144455,68921,1e+08,-6.36072e-20,-6.36072e-20,-6.36071e-20,2.45693e-19,9261,1.25e+07,7.44627e-20,7.44627e-20,7.44627e-20,7.768e-16,8.96758e-12,8.96836e-12
